experiment_id,experiment_date,material_a_ratio,material_b_ratio,temperature,pressure,tensile_strength,elongation,hardness,result_grade
EXP-00091,2025-07-18,0.43,0.57,166,89,43.1,19.5,78,B
EXP-00092,2026-01-02,0.71,0.29,239,73,42.9,16.4,84,B
EXP-00093,2026-01-19,0.37,0.63,193,81,49.4,15.2,71,B
EXP-00094,2025-06-26,0.39,0.61,159,89,42.3,17.4,82,B
EXP-00095,2026-02-14,0.9,0.1,220,93,60.9,7.9,92,A
EXP-00096,2025-05-12,0.54,0.46,184,40,48.8,11.3,73,B
EXP-00097,2025-04-20,0.65,0.35,176,81,50.0,14.6,84,A
EXP-00098,2025-11-08,0.61,0.39,216,40,47.2,16.9,78,B
EXP-00099,2025-10-18,0.76,0.24,246,97,45.2,13.1,82,B
EXP-00100,2025-03-05,0.79,0.21,248,74,47.7,10.0,85,B
EXP-00101,2026-01-15,0.55,0.45,193,43,44.7,18.9,82,B
EXP-00102,2025-04-02,0.34,0.66,235,50,32.7,22.2,74,C
EXP-00103,2026-01-03,0.12,0.88,171,93,38.6,23.6,67,B
EXP-00104,2025-01-04,0.59,0.41,235,75,46.0,12.7,82,B
EXP-00105,2025-12-30,0.76,0.24,245,46,43.4,11.7,78,B
EXP-00106,2025-12-25,0.46,0.54,202,88,48.6,16.6,78,A
EXP-00107,2025-12-22,0.23,0.77,202,81,41.7,22.2,67,B
EXP-00108,2025-10-31,0.33,0.67,206,35,35.6,18.8,63,C
EXP-00109,2025-08-04,0.51,0.49,157,50,43.6,16.6,70,B
EXP-00110,2025-11-18,0.77,0.23,236,89,50.9,8.9,93,A
EXP-00111,2025-05-07,0.24,0.76,224,54,38.0,19.8,63,C
EXP-00112,2025-12-23,0.59,0.41,237,32,37.1,17.5,77,C
EXP-00113,2025-09-11,0.7,0.3,161,72,47.5,14.7,80,B
EXP-00114,2025-07-29,0.85,0.15,231,93,51.4,6.9,87,A
EXP-00115,2025-08-19,0.19,0.81,186,69,44.3,22.5,68,B
EXP-00116,2025-09-17,0.84,0.16,232,99,43.7,13.1,85,B
EXP-00117,2025-01-17,0.58,0.42,250,38,39.9,19.8,76,B
EXP-00118,2025-03-05,0.71,0.29,238,77,42.1,16.7,82,B
EXP-00119,2025-04-22,0.14,0.86,242,76,37.3,24.1,63,C
EXP-00120,2025-02-22,0.5,0.5,161,99,47.4,19.8,77,B
EXP-00121,2025-07-20,0.6,0.4,183,67,49.4,12.6,86,A
EXP-00122,2025-11-01,0.35,0.65,179,88,45.6,18.1,74,B
EXP-00123,2025-10-26,0.45,0.55,201,40,47.4,14.3,69,B
EXP-00124,2025-08-03,0.54,0.46,248,33,38.0,18.0,75,B
EXP-00125,2026-01-25,0.54,0.46,219,80,41.5,18.6,75,B
EXP-00126,2025-09-15,0.13,0.87,205,30,39.1,24.2,63,C
EXP-00127,2025-02-06,0.45,0.55,231,92,45.1,16.2,77,B
EXP-00128,2025-12-15,0.27,0.73,167,31,39.5,18.0,57,C
EXP-00129,2025-09-20,0.83,0.17,216,78,50.3,11.8,84,A
EXP-00130,2025-10-17,0.88,0.12,200,62,59.8,6.6,81,A
EXP-00131,2025-09-15,0.34,0.66,170,75,48.0,16.0,72,B
EXP-00132,2025-09-10,0.24,0.76,215,74,38.7,22.3,65,B
EXP-00133,2025-02-11,0.28,0.72,234,61,38.0,21.8,64,C
EXP-00134,2025-09-12,0.48,0.52,233,64,38.2,20.4,75,B
EXP-00135,2025-12-29,0.8,0.2,235,65,44.3,13.0,84,B
EXP-00136,2025-05-19,0.5,0.5,232,78,39.4,20.2,82,B
EXP-00137,2025-10-02,0.14,0.86,197,80,38.3,22.1,71,B
EXP-00138,2025-01-15,0.13,0.87,154,61,34.5,22.8,63,C
EXP-00139,2025-06-08,0.28,0.72,247,55,37.5,18.8,69,C
EXP-00140,2025-07-19,0.77,0.23,195,33,50.9,7.9,72,B
EXP-00141,2026-03-25,0.6,0.4,213,85,47.6,11.6,84,B
EXP-00142,2025-04-08,0.55,0.45,152,46,39.7,18.0,75,B
EXP-00143,2025-05-07,0.36,0.64,239,60,39.1,17.9,74,B
EXP-00144,2025-07-06,0.84,0.16,239,100,43.0,10.4,89,B
EXP-00145,2026-03-29,0.36,0.64,243,85,39.8,18.6,72,B
EXP-00146,2026-01-25,0.77,0.23,167,54,49.7,12.9,80,A
EXP-00147,2025-01-16,0.82,0.18,235,63,47.2,13.5,90,B
EXP-00148,2025-04-17,0.49,0.51,213,53,39.0,18.3,74,B
EXP-00149,2026-01-10,0.82,0.18,164,74,53.9,10.5,80,A
EXP-00150,2025-01-27,0.32,0.68,207,40,39.1,19.0,68,B
EXP-00151,2026-01-26,0.63,0.37,198,97,52.9,14.1,82,A
EXP-00152,2025-05-09,0.17,0.83,213,100,33.3,23.0,74,C
EXP-00153,2026-02-23,0.48,0.52,158,51,38.6,18.5,74,B
EXP-00154,2025-05-14,0.27,0.73,206,46,37.9,23.0,70,C
EXP-00155,2025-07-18,0.15,0.85,218,68,40.8,22.8,69,B
EXP-00156,2025-10-29,0.1,0.9,222,75,37.4,22.4,68,C
EXP-00157,2025-02-27,0.36,0.64,227,75,40.9,18.5,77,B
EXP-00158,2025-09-12,0.57,0.43,213,32,42.0,16.0,75,B
EXP-00159,2025-08-19,0.46,0.54,220,80,40.3,14.3,73,B
EXP-00160,2025-12-24,0.34,0.66,159,34,39.6,21.9,61,C
EXP-00161,2026-03-31,0.89,0.11,230,54,50.8,9.5,81,A
EXP-00162,2025-10-30,0.85,0.15,187,80,59.4,10.4,90,A
EXP-00163,2025-07-06,0.2,0.8,205,92,44.8,19.6,61,C
EXP-00164,2025-07-05,0.43,0.57,205,75,42.7,20.7,74,B
EXP-00165,2025-07-10,0.62,0.38,248,41,40.4,17.7,74,B
EXP-00166,2026-01-07,0.69,0.31,182,78,47.9,15.6,87,B
EXP-00167,2025-05-27,0.39,0.61,188,32,43.7,16.8,66,B
EXP-00168,2025-03-18,0.7,0.3,226,46,50.1,10.4,76,B
EXP-00169,2025-06-02,0.2,0.8,214,38,33.3,23.3,67,C
EXP-00170,2025-01-11,0.37,0.63,182,99,47.7,13.2,76,B
EXP-00171,2025-02-18,0.67,0.33,184,56,56.0,10.6,77,B
EXP-00172,2025-02-11,0.6,0.4,233,69,41.6,14.1,76,B
EXP-00173,2025-12-18,0.77,0.23,234,86,48.6,11.0,87,A
EXP-00174,2025-11-26,0.14,0.86,164,98,42.7,22.0,68,B
EXP-00175,2025-11-14,0.24,0.76,190,100,42.9,20.8,71,B
EXP-00176,2025-07-30,0.14,0.86,227,41,37.1,22.1,66,C
EXP-00177,2025-11-23,0.25,0.75,161,57,32.9,23.3,66,C
EXP-00178,2025-03-15,0.1,0.9,168,58,37.0,21.8,60,C
EXP-00179,2026-02-15,0.5,0.5,166,86,47.3,20.7,74,B
EXP-00180,2025-08-17,0.52,0.48,203,53,42.2,17.7,74,B
EXP-00181,2026-03-04,0.63,0.37,195,46,47.4,13.3,74,B
EXP-00182,2025-03-11,0.41,0.59,182,83,47.3,18.5,73,B
EXP-00183,2025-08-15,0.1,0.9,163,65,34.5,26.1,59,C
EXP-00184,2025-11-14,0.64,0.36,214,83,52.1,11.4,82,A
EXP-00185,2025-08-15,0.14,0.86,231,56,36.2,19.9,57,C
EXP-00186,2025-07-23,0.79,0.21,171,64,52.6,8.9,85,A
EXP-00187,2025-03-17,0.12,0.88,217,30,33.6,22.4,56,C
EXP-00188,2025-06-23,0.52,0.48,230,31,41.8,17.2,73,B
EXP-00189,2025-04-19,0.82,0.18,206,30,54.6,7.2,81,A
EXP-00190,2025-05-18,0.56,0.44,207,42,47.6,14.3,74,B
EXP-00191,2025-11-08,0.59,0.41,166,54,44.9,15.2,79,B
EXP-00192,2025-10-15,0.65,0.35,246,33,43.9,16.0,81,B
EXP-00193,2025-10-04,0.2,0.8,246,41,36.7,23.2,67,C
EXP-00194,2025-06-14,0.64,0.36,221,90,48.9,14.7,77,B
EXP-00195,2026-03-14,0.8,0.2,241,90,46.5,16.6,85,B
EXP-00196,2025-02-09,0.88,0.12,211,50,54.9,11.9,82,A
EXP-00197,2025-06-06,0.45,0.55,216,97,39.3,19.2,81,B
EXP-00198,2025-02-23,0.38,0.62,233,38,39.1,17.5,65,B
EXP-00199,2025-06-04,0.7,0.3,153,32,49.8,11.7,74,B
EXP-00200,2026-03-15,0.53,0.47,172,55,46.4,12.9,71,B
EXP-00201,2025-06-17,0.31,0.69,170,48,40.1,20.2,68,B
EXP-00202,2026-02-19,0.24,0.76,213,35,35.5,22.6,65,C
EXP-00203,2025-08-14,0.24,0.76,174,90,42.0,21.8,66,B
EXP-00204,2025-11-16,0.47,0.53,189,99,48.3,16.3,77,B
EXP-00205,2025-07-28,0.24,0.76,199,49,42.9,21.8,57,C
EXP-00206,2025-05-02,0.12,0.88,225,52,32.3,26.3,52,C
EXP-00207,2025-12-15,0.14,0.86,202,81,36.4,20.6,68,C
EXP-00208,2026-03-18,0.84,0.16,152,96,48.6,11.0,91,A
EXP-00209,2025-05-01,0.16,0.84,219,50,41.4,21.0,63,C
EXP-00210,2025-12-22,0.16,0.84,193,78,38.0,20.6,73,B
EXP-00211,2025-04-30,0.46,0.54,161,31,39.7,18.0,62,C
EXP-00212,2025-11-23,0.3,0.7,215,70,34.0,22.4,61,C
EXP-00213,2025-12-26,0.87,0.13,177,100,55.0,9.6,87,A
EXP-00214,2025-07-24,0.83,0.17,196,63,58.1,9.3,76,B
EXP-00215,2025-12-03,0.42,0.58,247,75,40.7,16.7,71,B
EXP-00216,2025-05-05,0.46,0.54,174,78,43.5,18.4,78,B
EXP-00217,2025-02-06,0.4,0.6,239,74,38.0,20.5,74,B
EXP-00218,2025-02-13,0.13,0.87,196,78,43.1,19.2,70,B
EXP-00219,2025-07-23,0.33,0.67,244,92,47.2,15.0,75,B
EXP-00220,2026-02-16,0.2,0.8,235,30,38.2,24.0,59,C
EXP-00221,2025-02-28,0.18,0.82,234,92,42.3,24.0,67,B
EXP-00222,2025-07-27,0.55,0.45,170,94,53.2,14.0,82,A
EXP-00223,2025-11-18,0.18,0.82,229,94,44.6,19.1,63,C
EXP-00224,2025-04-03,0.18,0.82,187,56,37.1,24.2,51,C
EXP-00225,2025-11-26,0.48,0.52,241,71,38.0,19.7,77,B
EXP-00226,2025-05-20,0.45,0.55,250,55,43.7,17.0,73,B
EXP-00227,2026-01-04,0.21,0.79,211,89,36.5,23.9,76,C
EXP-00228,2025-09-22,0.1,0.9,242,58,31.3,23.0,64,C
EXP-00229,2025-09-07,0.25,0.75,203,52,36.1,20.3,67,C
EXP-00230,2025-03-22,0.29,0.71,153,78,39.0,21.1,69,B
EXP-00231,2025-07-31,0.74,0.26,238,33,37.2,16.7,74,C
EXP-00232,2026-01-26,0.83,0.17,203,56,50.2,12.9,82,A
EXP-00233,2025-01-09,0.42,0.58,154,44,38.4,21.7,73,B
EXP-00234,2025-12-12,0.42,0.58,156,56,37.5,16.4,73,C
EXP-00235,2025-08-13,0.67,0.33,223,61,49.7,13.5,83,A
EXP-00236,2025-11-25,0.6,0.4,243,34,40.2,20.7,74,B
EXP-00237,2025-10-30,0.25,0.75,220,91,41.5,18.9,68,B
EXP-00238,2025-07-17,0.19,0.81,194,59,39.8,19.7,69,B
EXP-00239,2025-05-21,0.45,0.55,181,55,44.4,12.7,76,B
EXP-00240,2025-10-14,0.55,0.45,192,40,51.1,14.4,73,B
EXP-00241,2025-03-05,0.21,0.79,182,100,42.2,21.4,74,B
EXP-00242,2025-09-24,0.33,0.67,177,90,42.2,20.2,75,B
EXP-00243,2025-02-13,0.34,0.66,162,64,35.5,18.9,68,C
EXP-00244,2025-10-24,0.31,0.69,207,53,41.9,19.3,66,B
EXP-00245,2025-10-14,0.47,0.53,172,63,40.9,18.5,70,B
EXP-00246,2025-02-08,0.62,0.38,164,98,49.8,14.0,82,A
EXP-00247,2025-12-12,0.51,0.49,177,45,45.8,14.0,76,B
EXP-00248,2025-07-09,0.26,0.74,230,78,34.5,22.2,73,C
EXP-00249,2025-12-25,0.18,0.82,207,94,40.0,19.6,72,B
EXP-00250,2025-01-19,0.76,0.24,199,83,55.5,7.0,89,A
EXP-00251,2025-03-23,0.48,0.52,209,91,46.8,17.5,77,B
EXP-00252,2025-08-14,0.15,0.85,207,97,39.0,22.1,64,C
EXP-00253,2025-03-27,0.31,0.69,200,34,38.1,21.7,64,C
EXP-00254,2025-05-31,0.74,0.26,234,46,46.5,12.6,79,B
EXP-00255,2025-10-29,0.7,0.3,223,40,44.0,16.1,80,B
EXP-00256,2025-03-07,0.8,0.2,168,70,49.0,14.3,87,A
EXP-00257,2025-11-06,0.58,0.42,232,58,45.0,19.2,80,B
EXP-00258,2025-02-17,0.44,0.56,167,32,44.6,18.8,60,C
EXP-00259,2025-03-21,0.44,0.56,157,69,44.1,18.1,70,B
EXP-00260,2025-09-25,0.26,0.74,192,37,38.9,18.0,63,C
EXP-00261,2025-12-28,0.62,0.38,189,58,45.5,14.9,79,B
EXP-00262,2025-03-19,0.57,0.43,229,56,47.7,12.1,84,B
EXP-00263,2025-05-17,0.22,0.78,220,93,33.4,21.1,67,C
EXP-00264,2026-02-26,0.81,0.19,155,78,51.5,15.4,83,A
EXP-00265,2026-03-28,0.39,0.61,200,74,50.6,13.9,71,B
EXP-00266,2025-09-22,0.14,0.86,230,89,37.4,17.7,65,C
EXP-00267,2025-07-23,0.36,0.64,224,42,40.1,21.0,64,C
EXP-00268,2025-06-08,0.8,0.2,200,48,55.1,9.1,81,A
EXP-00269,2025-10-07,0.83,0.17,212,83,54.2,12.0,91,A
EXP-00270,2025-09-27,0.49,0.51,206,83,53.5,11.7,78,A
EXP-00271,2025-05-15,0.87,0.13,173,31,50.7,10.2,77,B
EXP-00272,2025-01-11,0.8,0.2,207,45,49.3,14.6,80,A
EXP-00273,2025-03-11,0.76,0.24,218,46,47.7,10.4,76,B
EXP-00274,2026-03-14,0.79,0.21,155,30,52.1,11.1,82,A
EXP-00275,2025-07-10,0.41,0.59,220,76,40.7,19.3,80,B
EXP-00276,2025-08-08,0.71,0.29,175,33,51.0,11.2,70,B
EXP-00277,2025-08-02,0.56,0.44,150,89,47.7,15.6,81,B
EXP-00278,2025-12-23,0.68,0.32,226,71,48.9,13.6,78,A
EXP-00279,2025-01-30,0.24,0.76,189,84,44.4,20.3,70,B
EXP-00280,2025-02-07,0.69,0.31,191,65,58.0,14.4,80,A
EXP-00281,2025-05-06,0.87,0.13,213,98,55.9,14.9,85,A
EXP-00282,2025-08-10,0.34,0.66,206,49,39.6,20.6,72,B
EXP-00283,2025-11-03,0.89,0.11,212,69,54.7,9.5,86,A
EXP-00284,2025-08-12,0.4,0.6,245,30,35.9,21.1,65,C
EXP-00285,2025-07-21,0.26,0.74,215,89,47.9,17.6,72,B
EXP-00286,2026-03-04,0.19,0.81,154,70,35.6,19.2,63,C
EXP-00287,2025-03-15,0.73,0.27,172,42,51.5,12.2,77,B
EXP-00288,2025-09-18,0.54,0.46,195,88,45.3,18.2,72,B
EXP-00289,2025-09-05,0.35,0.65,197,100,45.2,15.0,66,B
EXP-00290,2025-08-04,0.59,0.41,186,34,47.8,12.8,69,B
EXP-00291,2026-01-04,0.37,0.63,168,90,45.2,16.6,72,B
EXP-00292,2025-05-02,0.46,0.54,160,82,45.9,17.4,69,B
EXP-00293,2026-03-11,0.79,0.21,164,55,54.5,15.5,80,A
EXP-00294,2025-06-01,0.63,0.37,246,75,46.1,13.3,78,B
EXP-00295,2025-09-06,0.71,0.29,189,85,55.1,11.6,84,A
EXP-00296,2025-08-26,0.57,0.43,247,64,37.7,18.0,79,C
EXP-00297,2026-01-23,0.89,0.11,183,77,56.2,8.6,95,A
EXP-00298,2025-07-20,0.29,0.71,181,33,40.5,19.9,65,B
EXP-00299,2025-05-10,0.31,0.69,199,95,43.7,17.9,70,B
EXP-00300,2025-01-10,0.17,0.83,245,95,37.8,27.4,72,C
EXP-00301,2025-06-15,0.54,0.46,206,44,44.2,17.8,78,B
EXP-00302,2026-01-12,0.59,0.41,153,63,48.6,13.6,73,B
EXP-00303,2025-01-05,0.68,0.32,177,46,45.6,16.9,73,B
EXP-00304,2026-02-13,0.37,0.63,249,58,35.7,21.1,64,C
EXP-00305,2025-09-05,0.11,0.89,165,49,31.7,24.5,58,C
EXP-00306,2025-03-05,0.61,0.39,234,91,44.2,15.3,83,B
EXP-00307,2025-05-18,0.9,0.1,243,79,50.4,10.4,95,A
EXP-00308,2025-09-10,0.34,0.66,171,90,41.9,16.6,77,B
EXP-00309,2025-05-24,0.25,0.75,206,86,40.9,16.9,72,B
EXP-00310,2025-02-19,0.33,0.67,210,81,44.0,19.2,72,B
EXP-00311,2025-10-31,0.44,0.56,230,41,39.0,18.5,71,B
EXP-00312,2025-11-03,0.3,0.7,230,88,40.9,21.5,74,B
EXP-00313,2025-02-24,0.38,0.62,156,85,42.5,16.7,79,B
EXP-00314,2025-05-09,0.61,0.39,182,38,45.3,13.1,74,B
EXP-00315,2025-04-22,0.38,0.62,244,36,35.7,22.0,68,C
EXP-00316,2025-10-28,0.42,0.58,185,84,47.2,16.0,74,B
EXP-00317,2025-11-30,0.13,0.87,174,57,40.0,23.4,63,C
EXP-00318,2025-11-28,0.83,0.17,213,53,55.7,10.1,82,A
EXP-00319,2026-03-05,0.43,0.57,169,58,49.4,19.6,67,B
EXP-00320,2025-12-17,0.36,0.64,164,91,44.0,19.7,78,B
EXP-00321,2025-05-27,0.17,0.83,230,55,34.6,23.7,69,C
EXP-00322,2025-02-19,0.61,0.39,161,56,45.6,16.8,77,B
EXP-00323,2025-10-08,0.79,0.21,240,58,44.4,13.2,84,B
EXP-00324,2026-02-22,0.13,0.87,175,33,33.7,20.3,62,C
EXP-00325,2026-03-21,0.22,0.78,160,32,37.4,22.3,61,C
EXP-00326,2025-04-15,0.22,0.78,224,59,38.6,25.1,66,B
EXP-00327,2025-04-18,0.58,0.42,167,31,41.4,12.2,71,B
EXP-00328,2025-01-18,0.84,0.16,187,83,61.9,9.0,85,A
EXP-00329,2025-03-06,0.45,0.55,185,60,40.3,15.3,75,B
EXP-00330,2025-09-11,0.38,0.62,201,65,42.7,18.3,73,B
EXP-00331,2025-09-07,0.71,0.29,197,53,55.9,11.3,83,A
EXP-00332,2025-06-19,0.69,0.31,169,84,52.4,13.9,83,A
EXP-00333,2025-05-22,0.3,0.7,173,60,39.4,20.6,63,C
EXP-00334,2026-01-14,0.23,0.77,169,32,43.0,22.5,66,B
EXP-00335,2025-07-29,0.39,0.61,155,64,39.5,21.6,68,B
EXP-00336,2026-01-04,0.72,0.28,215,42,42.3,14.7,75,B
EXP-00337,2026-03-16,0.66,0.34,197,72,53.4,14.6,78,A
EXP-00338,2025-05-25,0.63,0.37,160,70,41.4,15.7,72,B
EXP-00339,2025-04-03,0.76,0.24,183,63,51.9,10.9,81,A
EXP-00340,2026-03-11,0.32,0.68,217,57,41.7,16.9,71,B
EXP-00341,2025-10-17,0.37,0.63,178,72,42.0,21.3,70,B
EXP-00342,2025-05-13,0.13,0.87,190,78,39.5,21.2,71,B
EXP-00343,2025-10-11,0.79,0.21,225,92,46.5,8.3,93,B
EXP-00344,2025-08-23,0.57,0.43,217,98,50.0,15.4,85,A
EXP-00345,2026-02-17,0.34,0.66,220,35,33.8,20.6,58,C
EXP-00346,2025-04-27,0.16,0.84,188,76,42.5,20.1,72,B
EXP-00347,2026-03-29,0.68,0.32,198,36,49.1,13.0,75,B
EXP-00348,2026-03-03,0.7,0.3,235,59,49.1,12.6,87,A
EXP-00349,2025-03-24,0.63,0.37,238,82,41.4,21.7,79,B
EXP-00350,2025-03-17,0.26,0.74,155,68,44.2,22.5,67,B
EXP-00351,2025-09-01,0.83,0.17,234,87,45.4,14.5,88,B
EXP-00352,2025-01-21,0.7,0.3,240,94,39.8,16.5,81,B
EXP-00353,2025-05-17,0.63,0.37,245,99,43.6,17.9,77,B
EXP-00354,2025-07-18,0.62,0.38,177,77,53.7,13.2,71,B
EXP-00355,2026-03-19,0.82,0.18,200,77,58.4,10.9,98,A
EXP-00356,2026-03-29,0.84,0.16,154,87,54.0,11.5,82,A
EXP-00357,2025-03-11,0.58,0.42,161,46,47.1,15.3,68,B
EXP-00358,2026-02-11,0.43,0.57,206,51,40.9,20.3,73,B
EXP-00359,2025-02-11,0.39,0.61,170,54,44.4,16.9,64,C
EXP-00360,2025-12-08,0.76,0.24,172,82,53.1,11.6,79,A
EXP-00361,2026-01-21,0.62,0.38,179,54,47.1,12.7,65,B
EXP-00362,2026-02-11,0.16,0.84,196,39,37.0,20.6,62,C
EXP-00363,2025-04-12,0.21,0.79,165,86,38.9,16.2,65,B
EXP-00364,2026-02-12,0.82,0.18,231,83,52.9,11.8,90,A
EXP-00365,2025-02-22,0.81,0.19,217,72,49.8,13.4,85,A
